,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
180,Kylen Granson,IND,25,TE,15,7,50,30,368,12.3,1,19,46.0,46,2.0,24.5,60.0%,7.4,1,2,0,1,100.0,2,2.0,0.1,0.1,31,11.9,370,1,,GranKy00
181,Nick Westbrook-Ikhine,TEN,26,WR,14,9,45,28,370,13.2,3,18,57.8,33,2.0,26.4,62.2%,8.2,,,0,0,,,,,,28,13.2,370,3,,WestNi00
182,Juwan Johnson,NOR,27,TE,13,11,59,37,368,9.9,4,23,50.8,32,2.8,28.3,62.7%,6.2,,,0,0,,,,,,37,9.9,368,4,,JohnJu02
183,Jamaal Williams,NOR,28,RB,13,4,20,18,62,3.4,0,1,30.0,12,1.4,4.8,90.0%,3.1,106,306,1,19,39.6,17,2.9,23.5,8.2,124,3.0,368,1,1,WillJa06
184,Durham Smythe,MIA,28,TE,16,14,43,35,366,10.5,0,22,72.1,22,2.2,22.9,81.4%,8.5,,,0,0,,,,,,35,10.5,366,0,,SmytDu00
185,Tucker Kraft,GNB,23,TE,17,8,40,31,355,11.5,2,18,67.5,43,1.8,20.9,77.5%,8.9,,,0,0,,,,,,31,11.5,355,2,,KrafTu00
186,Tanner Hudson,CIN,29,TE,12,1,50,39,352,9.0,1,21,58.0,26,3.3,29.3,78.0%,7.0,,,0,0,,,,,,39,9.0,352,1,,HudsTa00
187,Luke Musgrave,GNB,23,TE,11,9,46,34,352,10.4,1,14,50.0,37,3.1,32.0,73.9%,7.7,,,0,0,,,,,,34,10.4,352,1,,MusgLu00
188,Brandon Powell,MIN,28,WR,17,2,44,29,324,11.2,1,18,50.0,28,1.7,19.1,65.9%,7.4,5,17,0,1,60.0,9,3.4,1.0,0.3,34,10.0,341,1,1,PoweBr00
189,Russell Wilson,DEN,35,QB,15,15,,,,,0,0,,,,,,,80,341,3,38,55.0,21,4.3,22.7,5.3,80,4.3,341,3,10,WilsRu00
190,Trevor Lawrence,JAX,24,QB,16,16,,,,,0,0,,,,,,,70,339,4,23,47.1,26,4.8,21.2,4.4,70,4.8,339,4,12,LawrTr00
191,Pierre Strong,CLE,25,RB,17,1,8,5,47,9.4,0,1,25.0,41,0.3,2.8,62.5%,5.9,63,291,1,10,50.8,40,4.6,17.1,3.7,68,5.0,338,1,1,StroPi00
192,Chase Brown,CIN,23,RB,12,0,15,14,156,11.1,1,4,53.3,54,1.2,13.0,93.3%,10.4,44,179,0,6,34.1,31,4.1,14.9,3.7,58,5.8,335,1,1,BrowCh10
193,Royce Freeman,LAR,27,RB,14,0,2,1,13,13.0,0,1,50.0,13,0.1,0.9,50.0%,6.5,77,319,2,17,51.9,23,4.1,22.8,5.5,78,4.3,332,2,,FreeRo00
194,Zay Jones,JAX,28,WR,9,7,64,34,321,9.4,2,14,43.8,36,3.8,35.7,53.1%,5.0,,,0,0,,,,,,34,9.4,321,2,,JoneZa00
195,Trenton Irwin,CIN,28,WR,16,5,32,25,316,12.6,1,15,59.4,32,1.6,19.8,78.1%,9.9,,,0,0,,,,,,25,12.6,316,1,2,IrwiTr00
196,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,315,15.0,1,14,40.5,46,1.3,19.7,50.0%,7.5,,,0,0,,,,,,21,15.0,315,1,1,ValdMa00
197,Allen Lazard,NYJ,28,WR,14,12,49,23,311,13.5,1,17,40.8,39,1.6,22.2,46.9%,6.3,,,0,0,,,,,,23,13.5,311,1,,LazaAl00
198,Pat Freiermuth,PIT,25,TE,12,9,47,32,308,9.6,2,17,48.9,29,2.7,25.7,68.1%,6.6,,,0,0,,,,,,32,9.6,308,2,,FreiPa00
199,Noah Gray,KAN,24,TE,17,10,41,28,305,10.9,2,16,53.7,34,1.6,17.9,68.3%,7.4,1,1,0,0,0.0,1,1.0,0.1,0.1,29,10.6,306,2,,GrayNo00
200,Michael Mayer,LVR,22,TE,14,12,40,27,304,11.3,2,19,60.0,32,1.9,21.7,67.5%,7.6,,,0,0,,,,,,27,11.3,304,2,,MayeMi00
201,Xavier Gipson,NYJ,22,WR,17,3,38,21,229,10.9,0,9,34.2,36,1.2,13.5,55.3%,6.0,8,68,1,4,62.5,18,8.5,4.0,0.5,29,10.2,297,1,5,GipsXa00
202,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,296,13.5,3,14,47.4,31,1.5,19.7,57.9%,7.8,,,0,0,,,,,,22,13.5,296,3,,WilsCe01
203,Elijah Mitchell,SFO,25,RB,11,1,8,6,14,2.3,0,2,37.5,9,0.5,1.3,75.0%,1.8,75,281,2,14,48.0,18,3.7,25.5,6.8,81,3.6,295,2,,MitcEl00
204,Dalvin Cook,NYJ,28,RB,15,1,20,15,78,5.2,0,3,30.0,15,1.0,5.2,75.0%,3.9,67,214,0,10,38.8,14,3.2,14.3,4.5,82,3.6,292,0,2,CookDa01
205,Michael Carter,2TM,24,,15,0,31,24,101,4.2,1,5,32.3,10,1.6,6.7,77.4%,3.3,30,187,0,9,40.0,21,6.2,12.5,2.0,54,5.3,288,1,,CartMi03
206,Greg Dortch,ARI,25,WR,16,4,41,24,280,11.7,2,14,48.8,38,1.5,17.5,58.5%,6.8,1,5,0,0,100.0,5,5.0,0.3,0.1,25,11.4,285,2,,DortGr01
207,Donald Parham,LAC,26,TE,14,8,41,27,285,10.6,4,22,61.0,24,1.9,20.4,65.9%,7.0,,,0,0,,,,,,27,10.6,285,4,,ParhDo00
208,Brandon Johnson,DEN,25,WR,13,2,30,19,284,14.9,4,12,60.0,50,1.5,21.8,63.3%,9.5,,,0,0,,,,,,19,14.9,284,4,,JohnBr23
209,Allen Robinson,PIT,30,WR,17,17,49,34,280,8.2,0,9,44.9,31,2.0,16.5,69.4%,5.7,,,0,0,,,,,,34,8.2,280,0,,RobiAl02
210,Kendre Miller,NOR,21,RB,8,0,11,10,117,11.7,0,5,54.5,33,1.3,14.6,90.9%,10.6,41,156,1,10,39.0,18,3.8,19.5,5.1,51,5.4,273,1,,MillKe01
211,Jeff Wilson,MIA,28,RB,10,0,17,14,85,6.1,0,3,29.4,12,1.4,8.5,82.4%,5.0,41,188,0,8,51.2,15,4.6,18.8,4.1,55,5.0,273,0,,WilsJe01
212,Jalen Tolbert,DAL,24,WR,17,6,36,22,268,12.2,2,13,55.6,45,1.3,15.8,61.1%,7.4,,,0,0,,,,,,22,12.2,268,2,1,TolbJa00
213,Sam Howell,WAS,23,QB,17,17,1,1,4,4.0,0,0,0.0,4,0.1,0.2,100.0%,4.0,48,263,5,19,50.0,24,5.5,15.5,2.8,49,5.4,267,5,4,HoweSa00
214,Skyy Moore,KAN,23,WR,14,8,38,21,244,11.6,1,13,44.7,54,1.5,17.4,55.3%,6.4,3,23,0,1,100.0,11,7.7,1.6,0.2,24,11.1,267,1,,MoorSk01
215,Jauan Jennings,SFO,26,WR,13,2,33,19,265,13.9,1,12,48.5,31,1.5,20.4,57.6%,8.0,,,0,0,,,,,,19,13.9,265,1,,JennJa00
216,JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,260,9.0,1,13,42.6,37,2.6,23.6,61.7%,5.5,,,0,0,,,,,,29,9.0,260,1,,SmitJu00
217,Chris Rodriguez,WAS,23,RB,13,0,2,2,12,6.0,0,1,100.0,7,0.2,0.9,100.0%,6.0,51,247,2,14,47.1,16,4.8,19.0,3.9,53,4.9,259,2,1,RodrCh00
218,Chase Edmonds,TAM,27,RB,13,0,17,14,81,5.8,0,5,58.8,14,1.1,6.2,82.4%,4.8,49,176,0,8,46.9,21,3.6,13.5,3.8,63,4.1,257,0,,EdmoCh00
219,Daniel Bellinger,NYG,23,TE,17,13,28,25,255,10.2,0,6,39.3,26,1.5,15.0,89.3%,9.1,,,0,0,,,,,,25,10.2,255,0,,BellDa00
220,Hunter Renfrow,LVR,28,WR,17,3,37,25,255,10.2,0,11,40.5,38,1.5,15.0,67.6%,6.9,,,0,0,,,,,,25,10.2,255,0,1,RenfHu00
221,Bryce Young,CAR,22,QB,16,16,,,,,0,0,,,,,,,39,253,0,18,64.1,26,6.5,15.8,2.4,39,6.5,253,0,11,YounBr01
222,Jerick McKinnon,KAN,31,RB,12,0,32,25,192,7.7,4,10,43.8,27,2.1,16.0,78.1%,6.0,21,60,1,7,47.6,10,2.9,5.0,1.8,46,5.5,252,5,,McKiJe00
223,Mike Williams,LAC,29,WR,3,3,26,19,249,13.1,1,9,53.8,49,6.3,83.0,73.1%,9.6,1,3,0,0,0.0,3,3.0,1.0,0.3,20,12.6,252,1,,WillMi07
224,Mack Hollins,ATL,30,WR,13,3,30,18,251,13.9,0,9,46.7,45,1.4,19.3,60.0%,8.4,,,0,0,,,,,,18,13.9,251,0,,HollMa00
225,Braxton Berrios,MIA,28,WR,16,1,33,27,238,8.8,1,15,57.6,22,1.7,14.9,81.8%,7.2,1,11,0,1,100.0,11,11.0,0.7,0.1,28,8.9,249,1,1,BerrBr00
226,D'Ernest Johnson,JAX,27,RB,17,0,12,10,140,14.0,0,6,50.0,42,0.6,8.2,83.3%,11.7,41,108,0,5,39.0,19,2.6,6.4,2.4,51,4.9,248,0,,JohnDE04
227,Jordan Love,GNB,25,QB,17,17,,,,,0,0,,,,,,,50,247,4,16,44.0,37,4.9,14.5,2.9,50,4.9,247,4,9,LoveJo03
228,Colby Parkinson,SEA,24,TE,17,1,34,25,247,9.9,2,11,52.9,27,1.5,14.5,73.5%,7.3,,,0,0,,,,,,25,9.9,247,2,,ParkCo02
229,A.T. Perry,NOR,24,WR,10,3,18,12,246,20.5,4,10,61.1,44,1.2,24.6,66.7%,13.7,,,0,0,,,,,,12,20.5,246,4,,PerrAT00
230,Mike Gesicki,NWE,28,TE,17,10,45,29,244,8.4,2,11,44.4,18,1.7,14.4,64.4%,5.4,,,0,0,,,,,,29,8.4,244,2,,GesiMi00
231,Kyler Murray,ARI,26,QB,8,8,,,,,0,0,,,,,,,44,244,3,15,59.1,33,5.5,30.5,5.5,44,5.5,244,3,7,MurrKy00
232,Dak Prescott*,DAL,30,QB,17,17,,,,,0,0,,,,,,,55,242,2,21,52.7,22,4.4,14.2,3.2,55,4.4,242,2,4,PresDa01
233,Matt Breida,NYG,28,RB,17,4,21,17,88,5.2,0,2,19.0,22,1.0,5.2,81.0%,4.2,55,151,1,7,34.5,9,2.7,8.9,3.2,72,3.3,239,1,1,BreiMa00
234,Treylon Burks,TEN,23,WR,11,9,30,16,221,13.8,0,8,43.3,70,1.5,20.1,53.3%,7.4,5,18,0,0,60.0,9,3.6,1.6,0.5,21,11.4,239,0,,BurkTr00
235,Bo Melton,GNB,24,WR,5,1,24,16,218,13.6,1,13,62.5,37,3.2,43.6,66.7%,9.1,3,21,0,2,100.0,12,7.0,4.2,0.6,19,12.6,239,1,,MeltBo00
236,Justin Herbert,LAC,25,QB,13,13,1,1,10,10.0,0,1,100.0,10,0.1,0.8,100.0%,10.0,52,228,3,16,40.4,35,4.4,17.5,4.0,53,4.5,238,3,4,HerbJu00
237,Cam Akers,2TM,24,,7,1,12,11,70,6.4,0,2,50.0,30,1.6,10.0,91.7%,5.8,60,167,2,12,35.0,19,2.8,23.9,8.6,71,3.3,237,2,,AkerCa00
238,Calvin Austin,PIT,24,WR,17,1,30,17,180,10.6,1,7,40.0,72,1.0,10.6,56.7%,6.0,11,57,1,4,63.6,12,5.2,3.4,0.6,28,8.5,237,2,2,AustCa00
239,Jordan Mason,SFO,24,RB,17,0,4,3,31,10.3,0,1,50.0,13,0.2,1.8,75.0%,7.8,40,206,3,13,55.0,26,5.2,12.1,2.4,43,5.5,237,3,,MasoJo00
240,KaVontae Turpin,DAL,27,WR,16,0,18,12,127,10.6,3,9,61.1,34,0.8,7.9,66.7%,7.1,11,110,1,5,72.7,46,10.0,6.9,0.7,23,10.3,237,4,1,TurpKa00
241,Austin Hooper,LVR,29,TE,17,9,31,25,234,9.4,0,12,61.3,21,1.5,13.8,80.6%,7.5,,,0,0,,,,,,25,9.4,234,0,,HoopAu00
242,Alex Erickson,LAC,31,WR,8,3,29,16,232,14.5,1,12,48.3,27,2.0,29.0,55.2%,8.0,,,0,0,,,,,,16,14.5,232,1,,EricAl01
243,KhaDarel Hodge,ATL,28,WR,17,4,23,14,232,16.6,0,13,60.9,52,0.8,13.6,60.9%,10.1,1,0,0,0,0.0,0,0.0,0.0,0.1,15,15.5,232,0,1,HodgKh00
244,Cedric Tillman,CLE,23,WR,14,3,44,21,224,10.7,0,12,40.9,23,1.5,16.0,47.7%,5.1,1,8,0,0,100.0,8,8.0,0.6,0.1,22,10.5,232,0,,TillCe01
245,Isaiah Hodgins,NYG,25,WR,17,9,33,21,230,11.0,3,12,63.6,24,1.2,13.5,63.6%,7.0,,,0,0,,,,,,21,11.0,230,3,1,HodgIs00
246,Craig Reynolds,DET,27,RB,17,0,5,5,47,9.4,0,2,60.0,28,0.3,2.8,100.0%,9.4,41,179,1,11,43.9,19,4.4,10.5,2.4,46,4.9,226,1,2,ReynCr00
247,Jamal Agnew,JAX,28,WR,11,1,21,14,225,16.1,1,8,57.1,65,1.3,20.5,66.7%,10.7,4,-2,0,0,0.0,1,-0.5,-0.2,0.4,18,12.4,223,1,1,AgneJa00
248,Ameer Abdullah,LVR,30,RB,17,0,24,19,131,6.9,0,4,33.3,18,1.1,7.7,79.2%,5.5,15,89,0,6,60.0,12,5.9,5.2,0.9,34,6.5,220,0,,AbduAm00
249,Brevin Jordan,HOU,23,TE,14,6,21,17,219,12.9,2,13,81.0,27,1.2,15.6,81.0%,10.4,,,0,0,,,,,,17,12.9,219,2,,JordBr00
250,Cordarrelle Patterson,ATL,32,RB,14,0,12,9,38,4.2,1,2,33.3,11,0.6,2.7,75.0%,3.2,50,181,0,9,46.0,18,3.6,12.9,3.6,59,3.7,219,1,1,PattCo00
251,Darrell Henderson,LAR,26,RB,4,4,14,10,103,10.3,0,3,28.6,32,2.5,25.8,71.4%,7.4,46,112,2,5,37.0,16,2.4,28.0,11.5,56,3.8,215,2,,HendDa00
252,Van Jefferson,2TM,27,,17,9,43,20,209,10.5,0,10,37.2,46,1.2,12.3,46.5%,4.9,1,4,0,0,100.0,4,4.0,0.2,0.1,21,10.1,213,0,,JeffVa00
253,Josh Oliver,MIN,26,TE,17,14,28,22,213,9.7,2,12,53.6,33,1.3,12.5,78.6%,7.6,,,0,0,,,,,,22,9.7,213,2,1,OlivJo00
254,Zach Wilson,NYJ,24,QB,12,11,,,,,0,0,,,,,,,36,211,0,7,41.7,20,5.9,17.6,3.0,36,5.9,211,0,11,WilsZa00
255,Tyler Scott,CHI,22,WR,17,4,32,17,168,9.9,0,10,43.8,30,1.0,9.9,53.1%,5.3,7,41,0,2,71.4,16,5.9,2.4,0.4,24,8.7,209,0,1,ScotTy00
256,Pharaoh Brown,NWE,29,TE,17,11,15,13,208,16.0,1,8,66.7,58,0.8,12.2,86.7%,13.9,,,0,0,,,,,,13,16.0,208,1,1,BrowPh01
257,Will Mallory,IND,24,TE,12,2,26,18,207,11.5,0,11,50.0,43,1.5,17.3,69.2%,8.0,,,0,0,,,,,,18,11.5,207,0,1,MallWi00
258,Daniel Jones,NYG,26,QB,6,6,,,,,0,0,,,,,,,40,206,1,15,52.5,17,5.2,34.3,6.7,40,5.2,206,1,4,JoneDa05
259,Adam Trautman,DEN,26,TE,17,12,35,22,204,9.3,3,10,51.4,24,1.3,12.0,62.9%,5.8,,,0,0,,,,,,22,9.3,204,3,,TrauAd00
260,Kadarius Toney,KAN,24,WR,13,2,38,27,169,6.3,1,12,44.7,18,2.1,13.0,71.1%,4.4,11,31,0,2,27.3,14,2.8,2.4,0.8,38,5.3,200,1,1,ToneKa00
261,Jake Bobo,SEA,25,WR,17,0,25,19,196,10.3,2,9,60.0,31,1.1,11.5,76.0%,7.8,1,3,1,1,100.0,3,3.0,0.2,0.1,20,10.0,199,3,,BoboJa00
262,Tyrod Taylor,NYG,34,QB,11,5,,,,,0,0,,,,,,,38,197,0,10,47.4,31,5.2,17.9,3.5,38,5.2,197,0,4,TaylTy00
263,Tommy DeVito,NYG,25,QB,9,6,,,,,0,0,,,,,,,36,195,1,7,44.4,26,5.4,21.7,4.0,36,5.4,195,1,2,DeViTo00
264,Ty Johnson,BUF,26,RB,10,0,7,7,62,8.9,1,2,71.4,28,0.7,6.2,100.0%,8.9,30,132,0,8,63.3,13,4.4,13.2,3.0,37,5.2,194,1,1,JohnTy02
265,Tommy Tremble,CAR,23,TE,16,8,32,23,194,8.4,3,10,50.0,30,1.4,12.1,71.9%,6.1,,,0,0,,,,,,23,8.4,194,3,,TremTo00
266,Foster Moreau,NOR,26,TE,15,10,25,21,193,9.2,1,9,60.0,23,1.4,12.9,84.0%,7.7,,,0,0,,,,,,21,9.2,193,1,,MoreFo00
267,Nick Chubb,CLE,28,RB,2,2,4,4,21,5.3,0,1,50.0,10,2.0,10.5,100.0%,5.3,28,170,0,8,57.1,20,6.1,85.0,14.0,32,6.0,191,0,,ChubNi00
268,Patrick Taylor,GNB,25,RB,11,0,17,11,49,4.5,0,4,29.4,16,1.0,4.5,64.7%,2.9,32,141,0,7,46.9,24,4.4,12.8,2.9,43,4.4,190,0,,TaylPa01
269,Zach Ertz,ARI,33,TE,7,7,43,27,187,6.9,1,8,41.9,17,3.9,26.7,62.8%,4.3,,,0,0,,,,,,27,6.9,187,1,,ErtzZa00
270,Desmond Ridder,ATL,24,QB,15,13,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.4,100.0%,-6.0,53,193,5,18,43.4,23,3.6,12.9,3.5,54,3.5,187,5,12,RiddDe00
271,Dawson Knox,BUF,27,TE,12,11,36,22,186,8.5,2,13,50.0,17,1.8,15.5,61.1%,5.2,,,0,0,,,,,,22,8.5,186,2,,KnoxDa00
272,Hayden Hurst,CAR,30,TE,9,8,32,18,184,10.2,1,7,46.9,48,2.0,20.4,56.3%,5.8,,,0,0,,,,,,18,10.2,184,1,,HursHa00
273,Kyle Philips,TEN,24,WR,9,0,22,15,181,12.1,0,9,50.0,29,1.7,20.1,68.2%,8.2,,,0,0,,,,,,15,12.1,181,0,1,PhilKy01
274,Trey Sermon,IND,24,RB,14,0,6,3,13,4.3,0,0,33.3,7,0.2,0.9,50.0%,2.2,35,160,0,7,45.7,27,4.6,11.4,2.5,38,4.6,173,0,,SermTr00
275,Will Dissly,SEA,27,TE,16,14,22,17,172,10.1,1,8,59.1,21,1.1,10.8,77.3%,7.8,,,0,0,,,,,,17,10.1,172,1,,DissWi00
276,Johnny Mundt,MIN,29,TE,17,0,23,17,172,10.1,1,8,52.2,32,1.0,10.1,73.9%,7.5,,,0,0,,,,,,17,10.1,172,1,,MundJo00
277,Darrynton Evans,2TM,25,,7,0,12,7,49,7.0,0,2,33.3,17,1.0,7.0,58.3%,4.1,32,121,1,10,40.6,13,3.8,17.3,4.6,39,4.4,170,1,,EvanDa02
278,Dyami Brown,WAS,24,WR,17,1,23,12,168,14.0,1,8,47.8,35,0.7,9.9,52.2%,7.3,1,0,0,0,0.0,0,0.0,0.0,0.1,13,12.9,168,1,,BrowDy00
279,David Bell,CLE,23,WR,15,3,23,14,167,11.9,3,9,47.8,41,0.9,11.1,60.9%,7.3,,,0,0,,,,,,14,11.9,167,3,,BellDa02
280,Derius Davis,LAC,23,WR,17,2,17,15,66,4.4,0,0,23.5,18,0.9,3.9,88.2%,3.9,14,101,0,5,50.0,51,7.2,5.9,0.8,29,5.8,167,0,3,DaviDe02
281,Connor Heyward,PIT,24,TE,17,7,34,23,167,7.3,0,8,47.1,13,1.4,9.8,67.6%,4.9,1,0,0,0,0.0,0,0.0,0.0,0.1,24,7.0,167,0,,HeywCo00
282,C.J. Stroud*,HOU,22,QB,15,15,1,1,0,0.0,0,0,0.0,0,0.1,0.0,100.0%,0.0,39,167,3,17,59.0,16,4.3,11.1,2.6,40,4.2,167,3,8,StroCJ00
283,Ray-Ray McCloud,SFO,27,WR,12,1,15,12,135,11.3,0,7,66.7,41,1.0,11.3,80.0%,9.0,3,30,0,2,100.0,15,10.0,2.5,0.3,15,11.0,165,0,1,McClRa00
284,Olamide Zaccheaus,PHI,26,WR,17,1,20,10,164,16.4,2,7,50.0,34,0.6,9.6,50.0%,8.2,,,0,0,,,,,,10,16.4,164,2,,ZaccOl01
285,Elijah Higgins,ARI,23,TE,11,2,19,14,163,11.6,1,9,52.6,26,1.3,14.8,73.7%,8.6,,,0,0,,,,,,14,11.6,163,1,,HiggEl00
286,Baker Mayfield*,TAM,28,QB,17,17,,,,,0,0,,,,,,,62,163,1,16,35.5,31,2.6,9.6,3.6,62,2.6,163,1,8,MayfBa00
287,Drew Sample,CIN,27,TE,17,10,27,22,163,7.4,2,9,44.4,22,1.3,9.6,81.5%,6.0,,,0,0,,,,,,22,7.4,163,2,,SampDr00
288,Lil'Jordan Humphrey,DEN,25,WR,17,8,19,13,162,12.5,3,9,63.2,54,0.8,9.5,68.4%,8.5,,,0,0,,,,,,13,12.5,162,3,,HumpLi01
289,John Metchie,HOU,23,WR,16,0,30,16,158,9.9,0,7,43.3,22,1.0,9.9,53.3%,5.3,1,4,0,0,100.0,4,4.0,0.3,0.1,17,9.5,162,0,,MetcJo00
290,Mo Alie-Cox,IND,30,TE,17,7,22,13,161,12.4,3,9,45.5,35,0.8,9.5,59.1%,7.3,,,0,0,,,,,,13,12.4,161,3,,AlieMo00
291,Scott Miller,ATL,26,WR,17,0,16,11,161,14.6,2,6,50.0,56,0.6,9.5,68.8%,10.1,,,0,0,,,,,,11,14.6,161,2,,MillSc01
292,Byron Pringle,WAS,30,WR,17,1,22,14,161,11.5,0,7,40.9,26,0.8,9.5,63.6%,7.3,,,0,0,,,,,,14,11.5,161,0,1,PrinBy00
293,Jamison Crowder,WAS,30,WR,17,0,20,16,159,9.9,1,8,60.0,26,0.9,9.4,80.0%,8.0,,,0,0,,,,,,16,9.9,159,1,2,CrowJa00
294,Luke Farrell,JAX,26,TE,17,8,15,13,155,11.9,0,5,73.3,42,0.8,9.1,86.7%,10.3,,,0,0,,,,,,13,11.9,155,0,,FarrLu00
295,Donovan Peoples-Jones,2TM,24,,15,6,25,13,155,11.9,0,7,40.0,29,0.9,10.3,52.0%,6.2,,,0,0,,,,,,13,11.9,155,0,1,PeopDo00
296,Jalen Reagor,NWE,24,WR,11,1,23,7,138,19.7,0,5,21.7,39,0.6,12.5,30.4%,6.0,1,17,0,1,100.0,17,17.0,1.5,0.1,8,19.4,155,0,,ReagJa00
297,Stone Smartt,LAC,25,TE,16,3,21,11,155,14.1,1,6,42.9,51,0.7,9.7,52.4%,7.4,,,0,0,,,,,,11,14.1,155,1,,SmarSt00
298,Geno Smith*,SEA,33,QB,15,15,1,1,-2,-2.0,0,0,0.0,-2,0.1,-0.1,100.0%,-2.0,37,155,1,10,40.5,25,4.2,10.3,2.5,38,4.0,153,1,5,SmitGe00
299,John Bates,WAS,26,TE,17,4,28,19,151,7.9,0,6,50.0,35,1.1,8.9,67.9%,5.4,,,0,0,,,,,,19,7.9,151,0,,BateJo00
300,Ronnie Rivers,LAR,24,RB,9,1,5,5,22,4.4,0,0,40.0,10,0.6,2.4,100.0%,4.4,32,129,0,4,50.0,10,4.0,14.3,3.6,37,4.1,151,0,,RiveRo01
301,Jeremy Ruckert,NYJ,23,TE,15,6,22,16,151,9.4,0,6,50.0,23,1.1,10.1,72.7%,6.9,,,0,0,,,,,,16,9.4,151,0,,RuckJe00
302,Deonte Harty,BUF,26,WR,16,1,21,15,150,10.0,1,9,52.4,43,0.9,9.4,71.4%,7.1,4,0,0,0,25.0,4,0.0,0.0,0.3,19,7.9,150,1,2,HarrDe07
303,Salvon Ahmed,MIA,25,RB,8,0,23,16,88,5.5,1,4,30.4,20,2.0,11.0,69.6%,3.8,22,61,1,3,36.4,10,2.8,7.6,2.8,38,3.9,149,2,,AhmeSa01
304,Andrew Ogletree,IND,25,TE,12,9,21,9,147,16.3,2,8,38.1,33,0.8,12.3,42.9%,7.0,,,0,0,,,,,,9,16.3,147,2,,OgleAn00
305,Brock Purdy*,SFO,24,QB,16,16,,,,,0,0,,,,,,,39,144,2,15,53.8,17,3.7,9.0,2.4,39,3.7,144,2,6,PurdBr00
306,Easton Stick,LAC,28,QB,5,4,,,,,0,0,,,,,,,27,144,1,11,63.0,21,5.3,28.8,5.4,27,5.3,144,1,5,SticEa00
307,Tyquan Thornton,NWE,23,WR,9,3,23,13,91,7.0,0,3,17.4,15,1.4,10.1,56.5%,4.0,3,51,0,1,66.7,39,17.0,5.7,0.3,16,8.9,142,0,,ThorTy00
308,Quez Watkins,PHI,25,WR,9,5,21,15,142,9.5,1,8,61.9,19,1.7,15.8,71.4%,6.8,,,0,0,,,,,,15,9.5,142,1,,WatkQu00
309,Deshaun Watson,CLE,28,QB,6,6,,,,,0,0,,,,,,,26,142,1,10,61.5,16,5.5,23.7,4.3,26,5.5,142,1,5,WatsDe00
310,Xavier Hutchinson,HOU,23,WR,16,0,19,8,90,11.3,0,3,21.1,34,0.5,5.6,42.1%,4.7,5,49,0,3,100.0,17,9.8,3.1,0.3,13,10.7,139,0,,HutcXa00
311,Terrace Marshall Jr.,CAR,23,WR,9,4,33,19,139,7.3,0,8,45.5,14,2.1,15.4,57.6%,4.2,,,0,0,,,,,,19,7.3,139,0,1,MarsTe00
312,Deven Thompkins,TAM,24,WR,17,1,25,17,83,4.9,1,5,32.0,26,1.0,4.9,68.0%,3.3,8,56,0,4,87.5,17,7.0,3.3,0.5,25,5.6,139,1,3,ThomDe07
313,Tank Bigsby,JAX,22,RB,17,0,4,1,6,6.0,0,0,25.0,6,0.1,0.4,25.0%,1.5,50,132,2,12,42.0,12,2.6,7.8,2.9,51,2.7,138,2,2,BigsTa00
314,Boston Scott,PHI,28,RB,15,0,6,4,52,13.0,0,2,33.3,27,0.3,3.5,66.7%,8.7,20,86,0,5,50.0,18,4.3,5.7,1.3,24,5.8,138,0,1,ScotBo02
315,Anthony Richardson,IND,21,QB,4,4,,,,,0,0,,,,,,,25,136,4,8,64.0,23,5.4,34.0,6.3,25,5.4,136,4,3,RichAn03
316,Jordan Akins,CLE,31,TE,17,4,23,15,132,8.8,0,6,52.2,28,0.9,7.8,65.2%,5.7,,,0,0,,,,,,15,8.8,132,0,,AkinJo00
317,Tony Jones,2TM,26,,7,1,10,7,37,5.3,0,1,20.0,11,1.0,5.3,70.0%,3.7,26,95,2,7,46.2,19,3.7,13.6,3.7,33,4.0,132,2,,JoneTo04
318,Parker Washington,JAX,21,WR,9,1,21,16,132,8.3,2,5,52.4,19,1.8,14.7,76.2%,6.3,,,0,0,,,,,,16,8.3,132,2,2,WashPa01
319,Isaiah Spiller,LAC,22,RB,9,0,6,6,34,5.7,0,1,66.7,10,0.7,3.8,100.0%,5.7,37,96,0,1,32.4,8,2.6,10.7,4.1,43,3.0,130,0,,SpilIs00
320,Melvin Gordon,BAL,30,RB,4,0,3,3,46,15.3,0,3,100.0,23,0.8,11.5,100.0%,15.3,26,81,1,4,30.8,22,3.1,20.3,6.5,29,4.4,127,1,1,GordMe00
321,Mecole Hardman,2TM,25,,11,2,24,15,124,8.3,0,8,50.0,37,1.4,11.3,62.5%,5.2,1,3,0,0,0.0,3,3.0,0.3,0.1,16,7.9,127,0,1,HardMe00
