,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
131,Darren Waller,NYG,31,TE,12,11,74,52,552,10.6,1,25,56.8,29,4.3,46.0,70.3%,7.5,,,0,0,,,,,,52,10.6,552,1,,WallDa01
132,Zamir White,LVR,24,RB,17,4,19,15,98,6.5,0,4,52.6,15,0.9,5.8,78.9%,5.2,104,451,1,19,51.0,43,4.3,26.5,6.1,119,4.6,549,1,1,WhitZa01
133,Kenneth Gainwell,PHI,24,RB,16,2,37,30,183,6.1,0,11,48.6,19,1.9,11.4,81.1%,4.9,84,364,2,19,39.3,32,4.3,22.8,5.3,114,4.8,547,2,3,GainKe00
134,Mark Andrews,BAL,28,TE,10,9,61,45,544,12.1,6,27,62.3,38,4.5,54.4,73.8%,8.9,1,0,0,0,0.0,0,0.0,0.0,0.1,46,11.8,544,6,1,AndrMa00
135,K.J. Osborn,MIN,26,WR,16,12,75,48,540,11.3,3,28,45.3,47,3.0,33.8,64.0%,7.2,,,0,0,,,,,,48,11.3,540,3,1,OsboKJ00
136,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,528,9.8,1,25,48.1,39,3.2,31.1,70.1%,6.9,2,6,0,1,50.0,4,3.0,0.4,0.1,56,9.5,534,1,,OkonCh00
137,Rondale Moore,ARI,23,WR,17,8,62,40,352,8.8,1,17,38.7,48,2.4,20.7,64.5%,5.7,28,178,1,5,46.4,45,6.4,10.5,1.6,68,7.8,530,2,1,MoorRo02
138,DJ Chark,CAR,27,WR,15,11,66,35,525,15.0,5,22,43.9,47,2.3,35.0,53.0%,8.0,,,0,0,,,,,,35,15.0,525,5,2,CharDJ00
139,Josh Allen,BUF,27,QB,17,17,,,,,0,0,,,,,,,111,524,15,57,65.8,23,4.7,30.8,6.5,111,4.7,524,15,7,AlleJo02
140,Jahan Dotson,WAS,23,WR,17,16,83,49,518,10.6,4,27,48.2,33,2.9,30.5,59.0%,6.2,,,0,0,,,,,,49,10.6,518,4,,DotsJa00
141,Dameon Pierce,HOU,23,RB,14,7,17,13,101,7.8,0,3,52.9,27,0.9,7.2,76.5%,5.9,145,416,2,14,37.9,22,2.9,29.7,10.4,158,3.3,517,2,,PierDa01
142,Tutu Atwell,LAR,24,WR,16,14,67,39,483,12.4,3,26,47.8,44,2.4,30.2,58.2%,7.2,5,31,0,2,60.0,22,6.2,1.9,0.3,44,11.7,514,3,,AtweTu00
143,Alec Pierce,IND,23,WR,17,16,65,32,514,16.1,2,24,46.2,58,1.9,30.2,49.2%,7.9,,,0,0,,,,,,32,16.1,514,2,,PierAl00
144,Rico Dowdle,DAL,25,RB,16,0,22,17,144,8.5,2,6,40.9,32,1.1,9.0,77.3%,6.5,89,361,2,17,47.2,21,4.1,22.6,5.6,106,4.8,505,4,,DowdRi01
145,D'Onta Foreman,CHI,27,RB,9,8,16,11,77,7.0,1,6,43.8,17,1.2,8.6,68.8%,4.8,109,425,4,24,53.2,22,3.9,47.2,12.1,120,4.2,502,5,1,ForeDO00
146,Logan Thomas,WAS,32,TE,16,15,78,55,496,9.0,4,21,56.4,29,3.4,31.0,70.5%,6.4,1,2,0,1,100.0,2,2.0,0.1,0.1,56,8.9,498,4,2,ThomLo00
147,Tyler Higbee,LAR,30,TE,15,15,70,47,495,10.5,2,26,57.1,33,3.1,33.0,67.1%,7.1,,,0,0,,,,,,47,10.5,495,2,,HigbTy00
148,Kareem Hunt,CLE,28,RB,15,2,21,15,84,5.6,0,5,38.1,13,1.0,5.6,71.4%,4.0,135,411,9,38,45.9,16,3.0,27.4,9.0,150,3.3,495,9,,HuntKa00
149,Keaton Mitchell,BAL,21,RB,8,2,11,9,93,10.3,0,5,63.6,32,1.1,11.6,81.8%,8.5,47,396,2,19,68.1,60,8.4,49.5,5.9,56,8.7,489,2,,MitcKe01
